status	viralReads
TRUE	5770
TRUE	276
FALSE	3
FALSE	26
FALSE	19
NA	2
NA	12
TRUE	34280
TRUE	68528
FALSE	1
FALSE	6
FALSE	1
NA	16
NA	75534
TRUE	6
TRUE	17295
FALSE	2
FALSE	7
FALSE	2
NA	23
NA	45709
TRUE	146760
TRUE	3
FALSE	1
FALSE	12
FALSE	19
NA	54
NA	6177
TRUE	359
FALSE	3
FALSE	4
FALSE	18
FALSE	2
NA	1
NA	111
TRUE	1321
FALSE	9
FALSE	3
FALSE	12
FALSE	10
NA	2
NA	125
TRUE	17252
FALSE	4
FALSE	39
FALSE	11
FALSE	154
NA	0
NA	19
TRUE	117
FALSE	6
FALSE	2
FALSE	21
FALSE	1
NA	0
NA	17
TRUE	66734
FALSE	1
FALSE	6
FALSE	8
NA	2
NA	2
NA	3
TRUE	509
FALSE	2
FALSE	0
FALSE	10
NA	0
NA	0
NA	0
TRUE	28
FALSE	2
FALSE	3
FALSE	17
NA	3
NA	0
TRUE	212
FALSE	4
FALSE	11
FALSE	14
NA	1
NA	7
TRUE	274051
FALSE	5
FALSE	23
FALSE	14
FALSE	27
NA	3
NA	1
TRUE	6284
FALSE	3
FALSE	16
FALSE	13
FALSE	2
NA	26
NA	98421
TRUE	92894
FALSE	8
FALSE	1
FALSE	16
FALSE	0
NA	4
NA	29496
TRUE	123358
FALSE	4
FALSE	7
FALSE	16
FALSE	0
NA	3
NA	4818
TRUE	71315
FALSE	5
FALSE	22
FALSE	5
FALSE	2
NA	0
NA	313
TRUE	209957
FALSE	1
FALSE	34
FALSE	3
FALSE	2
NA	1
NA	198
TRUE	1408
FALSE	7
FALSE	12
FALSE	3
NA	0
NA	13
TRUE	231
FALSE	2
FALSE	19
FALSE	12
NA	2
NA	0
FALSE	55
FALSE	1
FALSE	27
FALSE	17
NA	15
NA	2
FALSE	17
FALSE	4
FALSE	11
FALSE	21
NA	5
NA	0
FALSE	21
FALSE	1
FALSE	15
FALSE	9
NA	3
NA	0
FALSE	30
FALSE	8
FALSE	15
FALSE	1
NA	0
NA	0
